Sl. No.,District,Category,Name of Work,Length (km),Cost (Rs. Crore)
1,Karur,State PWD,Construction of Grade Separator at Km 218/6 of NH 67 (Nagappatinam-Guddalore-Mysore Road) (New NH-81)in the State of Tamil Nadu on EPC Basis,0.58,30.52
2,Nilgiri,State PWD,Widening to Two Lane with Paved shoulders from Km 414/4-428/0 and Strengthening from Km 422/0 - 425/0 of NH 67 including CD works and Protective works in the state of Tamil Nadu on EPC mode.,13.6,36.48
3,Ranipet,State PWD,Reconstruction of Existing ROB at km 113/4 and Construction of Grade Separator at Km 113/8 of NH 4 (Chennai - Chittoor - Bangalore Road),NA,34.16
4,Tiruvannamalai,State PWD,Construction of ROB and their Approaches at Km 103/4 near Ettivadi in Lieu of Existing Level Crossing No.86 of NH-234 (Mangalore - Villupuram Road) inlcuding Land Acquistion on EPC mode in the State of Tamil Nadu. (Job No.NH-234-TN-2020-21-946),1.01,64.18
5,Vellore,State PWD,"Construction of ROB and their Approaches at Km 81/800 (Near Kannamangalam) in Lieu of Existing LC No.109A/3T at Railway Km 130/23-25 of NH-234 (Mangalore - Villupuram Road) inlcuding Land Acquistion on Engineering, Procurement and Construction (EPC) Basis Contract in the State of Tamil Nadu. (Job No. NH-234-NH-2020-21-944)",1.1,98.55
6,Theni,State PWD,Construction of ROB at Km 93/4 of NH 49 Extn. (Madurai - Cochin road) in lieu of LC 85 and Railway Km 89/7-8 in between Theni and Bodi Railway Stations.Under SethuBharatham project on EPC Mode.,0.85,45.18
7,Theni,State PWD,"Construction of ROB at Km 75/8 of NH 49 Extn. (Madurai - Cochin road) in lieu of LC 68 and Railway Km 72/6-7 in between Aundipatti and Theni Railway Stations Under SethuBharatham Project on Engineering, Procurement and Construction (EPC) Basis Contract in the state of Tamil Nadu",1.26,92.02
8,Thanjavur,State PWD,"Construction of 4 lane with paved shoulders Thiruvayaru Bypass in between existing Km.55/926 to 62/680 in NH 226Extn. (New NH 136) on Engineering, Procurement and Construction (EPC) Basis Contract under NH(O) Annual Plan 2021-22 in the state of Tamil Nadu.",6.75,191.3
9,Madurai,State PWD,"Construction of ROB at km 22/2 of NH 49 Extn (New NH No 85) (Madurai - Cochin road) and Railway chainage in km 19/2-3 in lieu of LC-17 between Vadapalanji and Usilampatti Railway stations under Sethubharatham project on Engineering, Procurement and Construction (EPC) Basis contarct.",0.01,59.38
10,Coimbatotre,State PWD,"Construction of Fly Over including Junction Improvements at Km 348/6 - 349/8 of NH 67 (Km 15/6 - 16/8 of New NH 181) (Nagapattinam - Gudalur - Mysore Road) at Saibaba Colony Junction in Coimbatore City on Engineering, Procurement and Construction (EPC) Basis Contract in the state of Tamil Nadu",1.14,59.93
11,Madurai,State PWD,"Construction of Bypass to Madurai - Achambathu - Viratipathu in between km 6/850 - 10/382 of NH 49 Extn (New NH 85) including Land Acquisition on Engineering, Procurement and Construction (EPC) basis Contract under NH (O) Annual Plan 2021-22 in the state of Tamil Nadu (job No.NH-49 Extn (New NH 85) - TN-2021-22-997)",3.53,239
12,Ranipet,State PWD,Construction of LVUP at Km 109/10 of NH-4 (New NH-40) (Chennai-Chittoor Bangalore road)on Engineering Procurement and construction EPC basis contract in the state of Tamil Nadu.,0.5,13.51
13,Krishnagiri,State PWD,Construction of Bypass to Bagalur town branching from Km.3/0 (Kothapalli) and joining at Km 9/350 (Jee Mangalam) including LA and shifting of NH 207 (New NH 648),4.58,90.01
14,Cuddalore,State PWD,"Widening from Two lane with paved shoulder to four lane with paved shoulder and Strengthening in Km 0/8 - 17/6, 18/0 - 25/0, 25/500 - 27/900, 29/6 - 34/0 and Km 39/0-50/570 and strengthening in km17/6-18/0, 25/0-25/5, 27/9-29/6 and widening from Four lane to four lane with paved shoulder and strengthening in km 34/0-39/0 including centre median in selected stretches, Construction of Storm water drain including Widening and Reconstruction of CD works and Additional Bridge at Km 39/8 of NH 532 (Cuddalore)",42.69,257.1
15,Vellore,State PWD,Construction of Bypass to Gudiyatham Town in Km 23/100 - 29/250 including Land Acquisition and Shifting of NH-234 (Mangalore - Villupuram Road) (New NH-75) on Engineering Procurement and construction EPC basis contract in the state of Tamil Nadu (Gudiyatham Byepass).,7.3,221
