SH. No.,Name of the Road,Starting KM.,Ending KM,Total Length KM.
SH-1,Chennai-Ennore - Expressway Road (SH 1),8.000,18.400,10.400
SH-1A,Manali Oil Refinary Road (SH 1A),0.000,5.700,5.700
SH-2,Inner Ring Road (SH-2),0.000,25.200,25.200
SH-2A,Southern Sector of Inner Ring Road  (SH- 2A),0.000,5.000,5.000
SH-4,Arcot Villupuram Road (SH4),0.000,77.800,77.800
SH-4,Arcot Villupuram Road (SH4),79.181,110.200,31.019
SH-6,Arcot Villupuram Road (SH4),113.200,114.600,1.400
SH-4A,Sanipoondi Kilpennathur Avalurpet Chetpet road (SH 4A),0.000,21.000,21.000
SH-4A,Sanipoondi Kilpennathur Avalurpet Chetpet road (SH 4A),21.000,40.200,19.200
SH-4A,Sanipoondi Kilpennathur Avalurpet Chetpet road (SH 4A),40.300,42.400,2.100
SH-5,Arcot Tindivanam Road (SH5),0.000,21.600,21.600
SH-5,Arcot Tindivanam Road (SH5),21.600,81.900,60.300
SH-5,Arcot Tindivanam Road (SH5),82.000,84.600,2.600
SH-5A,Kancheepuram Thiruvathipuram road  (SH 5A) ,0.000,17.200,17.200
SH-6,Kallakurichi Tiruvannamalai road (SH -6),0.000,41.300,41.300
SH-6,Kallakurichi Tiruvannamalai road (SH -6),41.300,63.600,22.300
SH-6A,Tiruvannamalai Arur road (via) Thanipadi (SH 6A),0.000,40.000,40.000
SH-6A,Tiruvannamalai Arur road (via) Thanipadi (SH 6A),40.000,75.400,35.400
SH-6B,Thandrampet Kottakulam road  (SH- 6 B),0.000,18.200,18.200
SH-7,Villupuram-Mambalapattu-Tirukoilur road (SH-7),40.700,56.600,15.900
SH-7,Villupuram-Mambalapattu-Tirukoilur road (SH-7),56.600,75.800,19.200
SH-8,Vickravandi - Kumbakonam - Thanjavur Road  (SH 8),121.800,129.400,7.600
SH-8,Vickravandi - Kumbakonam - Thanjavur Road  (SH 8),133.800,136.370,2.570
SH-9,Cuddalore Chittoor Road (SH9),0.000,38.400,38.400
SH-9,Cuddalore Chittoor Road (SH9),38.200,84.800,46.600
SH-9,Cuddalore Chittoor Road (SH9),84.700,114.000,29.300
SH-9,Cuddalore Chittoor Road (SH9),138.800,143.600,4.800
SH-9,Cuddalore Chittoor Road (SH9),196.000,203.000,7.000
SH-9A,Tiruvannamalai Thiyagadurgam road  (SH -9 A),0.00000,19.2000,51.040
SH-9A,Tiruvannamalai Thiyagadurgam road  (SH -9 A),19.20000,51.0400,31.840
SH-11,Calicut Nilambur Gudalur road (SH 11),103.600,109.800,6.200
SH-12,Calicut Vythiri Gudalur road (SH 12),96.400,134.400,38.000
SH-15,Ooty Kottagiri Mettupalayam Sathy Gobi Erode Road (SH 15),0.000,43.000,43.000
